Arpabet,GenAm,RP,Type,Accents,Lexical Set,Example,Example Transcription,Comments
,,,,,,,,"Phone Table for supported phones in cmudict-style dictionaries"
,,,,,,,,
,,,,,,,,"Copyright (C) 2015 Reece H. Dunn"
,,,,,,,,
,,,,,,,,"This file is part of cmudict-tools."
,,,,,,,,
,,,,,,,,"cmudict-tools is free software: you can redistribute it and/or modify"
,,,,,,,,"it under the terms of the GNU General Public License as published by"
,,,,,,,,"the Free Software Foundation, either version 3 of the License, or"
,,,,,,,,"(at your option) any later version."
,,,,,,,,
,,,,,,,,"cmudict-tools is distributed in the hope that it will be useful,"
,,,,,,,,"but WITHOUT ANY WARRANTY; without even the implied warranty of"
,,,,,,,,"MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the"
,,,,,,,,"GNU General Public License for more details."
,,,,,,,,
,,,,,,,,"You should have received a copy of the GNU General Public License"
,,,,,,,,"along with cmudict-tools.  If not, see <http://www.gnu.org/licenses/>."
AA,ɑ,ɑː,vowel,GenAm;RP;cmudict;festlex;cepstral-en_US,PALM,odd,AA1 D,
AE,æ,æ,vowel,GenAm;RP;cmudict;festlex;cepstral-en_US,TRAP,at,AE1 T,
AH,ʌ,ʌ,vowel,GenAm;RP;cmudict;festlex;cepstral-en_US,STRUT,hut,HH AH1 T,
AO,ɔ,ɔː,vowel,GenAm;RP;cmudict;festlex;cepstral-en_US,THOUGHT,ought,AO1 T,
AW,aʊ̯,aʊ̯,vowel,GenAm;RP;cmudict;festlex;cepstral-en_US,MOUTH,cow,K AW1,
AX,ə,ə,schwa,GenAm;RP;festlex,COMMA,ago,AX G OW1,
AXR,ɚ,,schwa,GenAm,LETTER,bigger,B IH1 G AXR,
AY,aɪ̯,aɪ̯,vowel,GenAm;RP;cmudict;festlex;cepstral-en_US,PRICE,hide,HH AY1 D,
B,b,b,consonant,GenAm;RP;cmudict;festlex;cepstral-en_US,,be,B IY1,
CH,t͡ʃ,t͡ʃ,consonant,GenAm;RP;cmudict;festlex;cepstral-en_US,,cheese,CH IY1 Z,
D,d,d,consonant,GenAm;RP;cmudict;festlex;cepstral-en_US,,dee,D IY1,
DH,ð,ð,consonant,GenAm;RP;cmudict;festlex;cepstral-en_US,,thee,DH IY1,
EA,ɛ,ɛə̯,vowel,GenAm;RP,SQUARE,pair,P EA1 R,
EH,ɛ,ɛ,vowel,GenAm;RP;cmudict;festlex;cepstral-en_US,DRESS,Ed,EH1 D,
ER,ɝ,əː,vowel,GenAm;RP;cmudict;festlex;cepstral-en_US,NURSE,hurt,HH ER1 T,
EY,eɪ̯,eɪ̯,vowel,GenAm;RP;cmudict;festlex;cepstral-en_US,FACE,ate,EY1 T,
F,f,f,consonant,GenAm;RP;cmudict;festlex;cepstral-en_US,,fee,F IY1,
G,ɡ,ɡ,consonant,GenAm;RP;cmudict;festlex;cepstral-en_US,,green,G R IY1 N,
HH,h,h,consonant,GenAm;RP;cmudict;festlex,,he,HH IY1,
H,,,consonant,cepstral-en_US,,he,H IY1,
HW,ʍ,ʍ,consonant,GenAm;RP,WHINE,when,HW EH1 N,
I,,,vowel,cepstral-en_US,FLEECE,eat,I1 T,
IA,i,ɪə̯,vowel,GenAm;RP,NEAR,peer,P IA1 R,
IH,ɪ,ɪ,vowel,GenAm;RP;cmudict;festlex;cepstral-en_US,KIT,it,IH1 T,
IY,i,iː,vowel,GenAm;RP;cmudict;festlex,FLEECE,eat,IY1 T,
J,,,consonant,cepstral-en_US,,yield,J IY1 L D,
JH,d͡ʒ,d͡ʒ,consonant,GenAm;RP;cmudict;festlex;cepstral-en_US,,gee,JH IY1,
K,k,k,consonant,GenAm;RP;cmudict;festlex;cepstral-en_US,,key,K IY1,
L,l,l,consonant,GenAm;RP;cmudict;festlex;cepstral-en_US,,lee,L IY1,
M,m,m,consonant,GenAm;RP;cmudict;festlex;cepstral-en_US,,me,M IY1,
N,n,n,consonant,GenAm;RP;cmudict;festlex;cepstral-en_US,,knee,N IY1,
NG,ŋ,ŋ,consonant,GenAm;RP;cmudict;festlex;cepstral-en_US,,ping,P IH1 NG,
OA,oʊ̯,ɔə̯,vowel,GenAm;RP,FORCE,boar,B OA1 R,
OH,,ɒ,vowel,RP,LOT,cot,K OH1 T,
OW,oʊ̯,əʊ̯,vowel,GenAm;RP;cmudict;festlex;cepstral-en_US,GOAT,oat,OW1 T,
OY,ɔɪ̯,ɔɪ̯,vowel,GenAm;RP;cmudict;festlex;cepstral-en_US,CHOICE,toy,T OY1,
P,p,p,consonant,GenAm;RP;cmudict;festlex;cepstral-en_US,,pee,P IY1,
R,ɹ,ɹ,consonant,GenAm;RP;cmudict;festlex;cepstral-en_US,,reed,R IY1 D,
S,s,s,consonant,GenAm;RP;cmudict;festlex;cepstral-en_US,,sea,S IY1,
SH,ʃ,ʃ,consonant,GenAm;RP;cmudict;festlex;cepstral-en_US,,she,SH IY1,
T,t,t,consonant,GenAm;RP;cmudict;festlex;cepstral-en_US,,tea,T IY1,
TH,θ,θ,consonant,GenAm;RP;cmudict;festlex;cepstral-en_US,,theta,TH EY1 T AH0,
UA,ʊ,ʊə̯,vowel,GenAm;RP,CURE,poor,P UA1 R,
UH,ʊ,ʊ,vowel,GenAm;RP;cmudict;festlex;cepstral-en_US,FOOT,hood,HH UH1 D,
UW,u,uː,vowel,GenAm;RP;cmudict;festlex;cepstral-en_US,GOOSE,two,T UW1,
V,v,v,consonant,GenAm;RP;cmudict;festlex;cepstral-en_US,,vee,V IY1,
W,w,w,consonant,GenAm;RP;cmudict;festlex;cepstral-en_US,WINE,we,W IY1,
Y,j,j,consonant,GenAm;RP;cmudict;festlex,,yield,Y IY1 L D,
Z,z,z,consonant,GenAm;RP;cmudict;festlex;cepstral-en_US,,zee,Z IY1,
ZH,ʒ,ʒ,consonant,GenAm;RP;cmudict;festlex;cepstral-en_US,,seizure,S IY1 ZH ER0,
